광역시도,자치구,연도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,강서구,2002,,3737.0,,296.0,,,,14.0,,3427.0,,
서울시,강서구,2003,,1172.0,,358.0,,,,127.0,,688.0,,
서울시,강서구,2004,,2437.0,,188.0,,112.0,,77.0,,2061.0,,4.0
서울시,강서구,2005,,1583.0,,164.0,,174.0,,209.0,,1036.0,,3.0
서울시,강서구,2006,,3487.0,,173.0,,189.0,,9.0,,3117.0,,2.0
서울시,강서구,2007,,1756.0,,148.0,,191.0,,164.0,,1253.0,,3.0
서울시,강서구,2008,,1920.0,,173.0,,205.0,,276.0,,1265.0,,3.0
서울시,강서구,2009,,1595.0,,237.0,,213.0,,253.0,,892.0,,2.0
서울시,강서구,2010,3354.0,2434.1,456.7,235.3,214.7,214.7,753.1,118.3,1929.5,1865.8,9.9,2.8
서울시,강서구,2011,4880.2,3596.3,225.7,112.0,204.1,204.1,695.6,25.3,3754.8,3254.9,16.1,7.5
서울시,강서구,2012,3737.5,2236.8,199.5,86.5,199.6,199.6,772.3,212.0,2566.1,1738.7,7.1,2.2
서울시,강서구,2013,3174.1,2144.3,199.5,81.6,170.7,161.1,726.5,250.5,2077.4,1651.1,8.8,1.5
서울시,강서구,2014,3225.7,2401.7,266.7,135.3,170.1,170.1,643.8,126.8,2145.1,1969.5,7.9,2.9
서울시,강서구,2015,3970.2,2606.8,255.4,127.9,178.8,178.8,674.7,126.0,2861.3,2174.1,7.2,2.2
서울시,강서구,2016,3846.3,2759.0,245.4,110.9,179.9,179.9,658.0,120.8,2763.0,2347.4,8.5,2.1
서울시,강서구,2017,3897.1,2882.9,295.2,160.9,168.5,168.5,712.3,121.7,2721.1,2431.8,8.2,2.1
서울시,강서구,2018,3779.2,2774.9,316.9,173.3,163.1,163.1,687.9,135.7,2611.3,2302.8,12.6,4.6
서울시,강서구,2019,2938.2,2210.5,434.4,281.2,165.0,165.0,515.0,55.4,1823.8,1708.9,11.3,3.3
서울시,관악구,2000,,294.0,,166.0,,,,,,128.0,,
서울시,관악구,2001,,366.0,,173.0,,,,,,193.0,,
서울시,관악구,2002,,810.0,,217.0,,,,,,593.0,,
서울시,관악구,2003,,600.0,,280.0,,,,,,320.0,,
서울시,관악구,2004,,772.0,,247.0,,90.0,,,,435.0,,3.0
서울시,관악구,2005,,796.0,,244.0,,118.0,,,,434.0,,2.0
서울시,관악구,2006,,1016.0,,257.0,,130.0,,3.0,,626.0,,1.0
서울시,관악구,2007,,1049.0,,253.0,,134.0,,,,662.0,,3.0
서울시,관악구,2008,,1082.0,,257.0,,129.0,,,,696.0,,1.0
서울시,관악구,2009,,1338.0,,200.0,,126.0,,2.0,,1010.0,,2.0
서울시,관악구,2010,1252.9,1052.9,212.0,35.0,128.0,128.0,16.0,,896.9,889.9,5.9,2.5
서울시,관악구,2011,1128.6,959.1,225.9,62.3,95.1,95.1,,,807.6,801.7,4.6,1.3
서울시,관악구,2012,1201.4,1060.8,196.0,65.9,121.6,121.6,2.9,2.9,880.9,870.4,6.3,2.6
서울시,관악구,2013,1169.2,1024.1,200.1,64.5,115.4,115.4,2.4,2.4,851.3,841.8,7.3,3.2
서울시,관악구,2014,1112.8,969.4,235.2,99.1,119.1,119.1,3.5,3.5,755.0,747.7,6.5,1.8
서울시,관악구,2015,1319.5,1185.9,221.1,92.9,116.8,116.8,18.6,18.6,963.0,957.6,8.2,2.9
서울시,관악구,2016,1523.3,1391.0,224.4,97.6,115.3,115.3,0.7,0.7,1182.9,1177.4,9.7,4.3
서울시,관악구,2017,1422.8,1282.3,251.6,121.2,110.2,110.2,0.1,,1060.9,1050.9,7.5,2.9
서울시,관악구,2018,1506.9,1377.6,326.5,205.6,110.3,110.3,1.3,1.3,1068.8,1060.4,7.8,2.9
서울시,관악구,2019,1658.6,1530.2,329.1,207.6,105.6,105.6,0.4,0.4,1223.5,1216.6,7.9,3.0
서울시,광진구,2000,,346.0,,158.0,,,,34.0,,154.0,,
서울시,광진구,2001,,1115.0,,133.0,,,,57.0,,926.0,,
서울시,광진구,2002,,1203.0,,248.0,,,,58.0,,898.0,,
서울시,광진구,2003,,1314.0,,285.0,,,,41.0,,988.0,,
서울시,광진구,2004,,658.0,,238.0,,67.0,,51.0,,303.0,,2.0
서울시,광진구,2005,,995.0,,198.0,,104.0,,42.0,,651.0,,2.0
서울시,광진구,2006,,1104.0,,151.0,,104.0,,5.0,,844.0,,2.0
서울시,광진구,2007,,736.0,,131.0,,95.0,,59.0,,451.0,,2.0
서울시,광진구,2008,,943.0,,151.0,,95.0,,47.0,,650.0,,1.0
서울시,광진구,2009,,833.0,,179.0,,100.0,,52.0,,503.0,,2.0
서울시,광진구,2010,1145.9,1038.5,292.2,188.5,100.1,100.1,41.1,41.1,712.5,708.8,5.6,2.2
서울시,광진구,2011,1184.3,1087.0,260.4,165.7,104.8,104.8,39.4,39.4,779.7,777.1,8.1,3.7
서울시,광진구,2012,1037.8,940.2,255.6,163.7,112.9,112.9,15.1,15.1,654.2,648.5,5.5,1.7
서울시,광진구,2013,1023.0,925.3,280.4,186.9,98.9,98.9,14.0,14.0,629.7,625.5,5.1,1.6
서울시,광진구,2014,1099.4,997.2,244.4,150.1,104.5,104.5,11.6,11.6,738.9,731.0,5.8,1.8
서울시,광진구,2015,1719.8,1622.0,235.2,146.2,104.2,104.2,13.2,13.2,1367.2,1358.4,6.5,2.1
서울시,광진구,2016,1457.4,1363.8,223.7,138.2,102.6,102.6,24.1,24.1,1107.0,1098.9,6.8,2.0
서울시,광진구,2017,1090.9,1002.8,220.1,140.2,99.1,99.1,22.3,22.2,749.4,741.3,6.2,1.4
서울시,광진구,2018,1250.8,1164.8,247.4,168.2,95.1,95.1,20.1,20.0,888.2,881.5,7.3,1.9
서울시,광진구,2019,1373.2,1289.3,241.2,160.5,92.7,92.7,26.5,26.4,1012.8,1009.7,6.2,1.1
서울시,구로구,2000,,402.0,,182.0,,,,,,220.0,,
서울시,구로구,2001,,719.0,,216.0,,,,4.0,,499.0,,
서울시,구로구,2002,,510.0,,232.0,,,,2.0,,275.0,,
서울시,구로구,2003,,489.0,,259.0,,,,5.0,,225.0,,
서울시,구로구,2004,,393.0,,143.0,,85.0,,2.0,,163.0,,21.0
서울시,구로구,2005,,1104.0,,146.0,,100.0,,8.0,,850.0,,3.0
서울시,구로구,2006,,1362.0,,181.0,,109.0,,5.0,,1067.0,,2.0
서울시,구로구,2007,,1565.0,,173.0,,110.0,,3.0,,1279.0,,4.0
서울시,구로구,2008,,1147.0,,181.0,,114.0,,5.0,,846.0,,3.0
서울시,구로구,2009,,1345.0,,179.0,,112.0,,5.0,,1049.0,,2.0
서울시,구로구,2010,1277.0,1097.3,200.1,62.1,108.0,108.0,6.7,5.4,962.2,921.8,8.7,2.0
서울시,구로구,2011,1647.0,1481.9,170.7,33.0,106.0,106.0,5.4,4.3,1364.9,1338.6,6.0,2.1
서울시,구로구,2012,1197.8,1006.2,172.1,38.8,113.6,113.6,4.7,3.5,907.4,850.3,8.6,2.8
서울시,구로구,2013,974.0,759.0,169.8,31.0,108.7,108.7,4.6,3.4,690.9,615.9,7.0,2.3
서울시,구로구,2014,1002.1,790.3,205.9,70.3,116.6,116.6,4.8,3.6,674.8,599.8,12.8,3.3
서울시,구로구,2015,1175.7,951.7,202.5,64.2,112.2,112.2,5.0,3.7,856.0,771.6,13.9,3.6
서울시,구로구,2016,1445.2,1235.9,205.3,64.3,112.9,112.9,4.9,1.3,1122.1,1057.4,14.7,3.4
서울시,구로구,2017,1454.2,1250.5,208.5,72.2,102.3,102.3,4.2,1.4,1139.2,1074.6,8.2,2.0
서울시,구로구,2018,1423.5,1210.2,222.6,76.0,96.8,96.8,3.8,1.3,1100.3,1036.1,9.7,2.3
서울시,구로구,2019,1324.8,1109.2,231.9,76.4,94.6,94.6,3.6,3.2,994.7,935.0,8.6,2.2
서울시,금천구,2000,,479.0,,153.0,,,,3.0,,323.0,,
서울시,금천구,2001,,498.0,,205.0,,,,3.0,,290.0,,
서울시,금천구,2002,,402.0,,189.0,,,,2.0,,212.0,,
서울시,금천구,2003,,939.0,,200.0,,,,2.0,,738.0,,
서울시,금천구,2004,,314.0,,146.0,,46.0,,2.0,,120.0,,4.0
서울시,금천구,2005,,1032.0,,142.0,,65.0,,3.0,,822.0,,4.0
서울시,금천구,2006,,436.0,,55.0,,66.0,,2.0,,312.0,,3.0
서울시,금천구,2007,,1226.0,,129.0,,72.0,,6.0,,1019.0,,4.0
서울시,금천구,2008,,1665.0,,55.0,,78.0,,4.0,,1528.0,,3.0
서울시,금천구,2009,,861.0,,113.0,,79.0,,4.0,,665.0,,9.0
서울시,금천구,2010,707.2,586.4,116.6,56.4,80.1,80.1,10.7,4.6,499.8,445.3,9.0,5.0
서울시,금천구,2011,956.9,780.1,139.7,46.6,81.5,81.5,6.7,2.4,729.0,649.6,20.2,12.7
서울시,금천구,2012,839.7,644.3,148.1,61.8,75.4,75.4,1.6,0.9,614.6,506.2,9.3,4.0
서울시,금천구,2013,749.8,615.8,112.4,31.2,67.8,67.8,1.6,0.8,568.0,516.0,10.2,5.8
서울시,금천구,2014,808.8,671.7,182.2,98.1,68.4,68.4,1.8,0.9,556.4,504.3,9.6,5.4
서울시,금천구,2015,889.3,713.3,174.3,105.7,65.8,65.8,0.9,0.5,648.3,541.3,10.1,5.2
서울시,금천구,2016,1194.3,1052.6,174.9,105.3,64.7,64.7,0.9,0.5,953.8,882.1,9.7,5.0
서울시,금천구,2017,1420.9,1276.0,182.2,110.4,59.6,59.6,3.7,2.9,1175.4,1103.1,9.1,3.4
서울시,금천구,2018,1399.2,1258.6,189.8,116.2,59.0,59.0,0.7,0.3,1149.7,1083.1,6.3,2.2
서울시,금천구,2019,1931.2,1796.7,227.6,138.9,59.1,59.1,2.1,0.8,1642.4,1597.9,5.7,1.8
서울시,노원구,2000,,573.0,,214.0,,,,,,359.0,,
서울시,노원구,2001,,609.0,,252.0,,,,,,357.0,,
서울시,노원구,2002,,835.0,,288.0,,,,,,547.0,,
서울시,노원구,2003,,466.0,,303.0,,,,,,163.0,,
서울시,노원구,2004,,1828.0,,157.0,,149.0,,,,1523.0,,5.0
서울시,노원구,2005,,790.0,,139.0,,155.0,,,,496.0,,4.0
서울시,노원구,2006,,1488.0,,105.0,,157.0,,,,1226.0,,3.0
서울시,노원구,2007,,818.0,,122.0,,165.0,,,,531.0,,3.0
서울시,노원구,2008,,689.0,,105.0,,168.0,,,,416.0,,2.0
서울시,노원구,2009,,729.0,,180.0,,166.0,,,,384.0,,2.0
서울시,노원구,2010,1210.7,979.7,292.9,130.1,160.0,160.0,74.7,11.6,683.1,678.0,8.1,2.8
서울시,노원구,2011,977.2,787.7,137.6,16.7,166.1,166.1,61.6,,611.9,604.9,8.3,2.7
서울시,노원구,2012,894.8,767.3,142.2,21.6,165.7,165.7,,,586.9,580.0,17.6,3.1
서울시,노원구,2013,1098.2,898.4,139.1,19.8,163.3,163.3,76.7,,719.1,715.3,18.9,2.9
서울시,노원구,2014,1192.2,998.5,186.6,67.2,169.8,169.8,71.1,0.2,764.7,761.3,17.7,2.3
서울시,노원구,2015,1095.1,902.8,301.4,188.2,162.8,162.8,76.8,0.2,554.1,551.6,18.7,3.4
서울시,노원구,2016,1202.2,989.1,297.1,177.7,158.0,158.0,90.0,0.3,657.1,653.1,18.0,3.5
서울시,노원구,2017,1640.2,1444.6,278.0,170.3,138.7,138.7,82.6,,1140.9,1135.6,16.5,2.0
서울시,노원구,2018,1725.8,1533.6,335.3,228.3,131.9,131.9,136.0,54.0,1122.6,1119.4,18.1,1.8
서울시,노원구,2019,1575.4,1364.8,188.6,78.7,128.7,128.7,99.3,2.4,1158.8,1155.0,16.1,2.0
서울시,도봉구,2000,,966.0,,209.0,,,,,,757.0,,
서울시,도봉구,2001,,1687.0,,147.0,,,,,,1540.0,,
서울시,도봉구,2002,,588.0,,102.0,,,,,,486.0,,
서울시,도봉구,2003,,1010.0,,129.0,,,,,,882.0,,
서울시,도봉구,2004,,503.0,,55.0,,70.0,,,,378.0,,3.0
서울시,도봉구,2005,,393.0,,54.0,,87.0,,,,252.0,,4.0
서울시,도봉구,2006,,553.0,,211.0,,105.0,,,,237.0,,3.0
서울시,도봉구,2007,,510.0,,224.0,,99.0,,,,187.0,,4.0
서울시,도봉구,2008,,625.0,,211.0,,101.0,,,,313.0,,5.0
서울시,도봉구,2009,,561.0,,132.0,,102.0,,,,327.0,,2.0
서울시,도봉구,2010,839.4,763.5,302.2,227.3,98.4,98.4,,,438.8,437.8,5.0,2.0
서울시,도봉구,2011,761.8,682.2,309.4,233.3,94.9,94.9,,,357.5,354.0,4.7,1.8
서울시,도봉구,2012,681.2,605.8,305.4,231.9,95.0,95.0,,,280.8,278.9,4.9,1.7
서울시,도봉구,2013,673.3,604.4,294.5,226.8,91.7,91.7,,,287.1,285.9,4.2,1.4
서울시,도봉구,2014,641.7,573.1,250.0,181.8,98.1,98.1,,,293.6,293.2,5.1,2.2
서울시,도봉구,2015,751.9,680.4,217.8,147.8,96.9,96.9,,,437.2,435.7,4.6,1.2
서울시,도봉구,2016,745.5,675.3,224.4,156.3,90.7,90.7,,,430.4,428.3,4.7,1.2
서울시,도봉구,2017,641.3,542.6,161.3,90.1,82.3,82.3,10.7,1.1,387.0,369.1,4.3,1.1
서울시,도봉구,2018,706.9,582.0,177.4,109.8,78.3,78.3,13.0,13.0,438.2,380.9,4.6,1.3
서울시,도봉구,2019,802.1,623.2,266.9,142.5,78.2,78.2,0.9,0.8,456.1,401.7,3.7,1.2
서울시,동대문구,2000,,717.0,,162.0,,,,,,555.0,,
서울시,동대문구,2001,,703.0,,190.0,,,,,,513.0,,
서울시,동대문구,2002,,776.0,,186.0,,,,,,590.0,,
서울시,동대문구,2003,,1395.0,,209.0,,,,,,1185.0,,
서울시,동대문구,2004,,1805.0,,203.0,,73.0,,,,1529.0,,4.0
서울시,동대문구,2005,,1060.0,,227.0,,113.0,,,,720.0,,4.0
서울시,동대문구,2006,,1046.0,,180.0,,116.0,,,,751.0,,4.0
서울시,동대문구,2007,,1653.0,,211.0,,114.0,,3.0,,1325.0,,1.0
서울시,동대문구,2008,,1618.0,,180.0,,83.0,,27.0,,1328.0,,1.0
서울시,동대문구,2009,,1627.0,,148.0,,91.0,,0.0,,1388.0,,1.0
서울시,동대문구,2010,1240.9,1086.7,318.0,187.9,91.4,91.4,,,831.5,807.4,4.5,0.7
서울시,동대문구,2011,1776.9,1627.2,327.9,194.6,116.6,116.6,6.5,,1325.9,1316.0,6.7,2.0
