광역시도,자치구,연도,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
서울시,용산구,2018,74.1,55.3,20.3,15.1,19.9,18.8,5.4,6.6,4.8,,2.0,,,,,,
서울시,용산구,2019,74.1,55.4,24.3,14.3,16.8,10.8,3.8,6.1,0.2,,0.7,7.9,3.7,4.2,,,
서울시,용산구,2020,63.7,49.1,21.3,14.1,13.6,6.7,2.8,3.8,0.1,,0.1,7.9,2.5,3.6,,,1.8
서울시,용산구,2021,62.7,45.9,24.4,11.2,10.3,8.0,3.2,3.5,0.1,,1.2,8.8,1.8,,5.9,,1.1
서울시,용산구,2022,64.9,44.6,26.3,8.1,10.2,10.5,4.8,5.4,0.1,,0.3,9.7,2.6,,5.4,,1.7
서울시,용산구,2023,63.2,45.9,19.5,10.6,15.8,9.6,5.1,4.2,0.1,,0.2,7.7,2.8,,3.7,,1.2
서울시,은평구,2014,88.6,77.5,53.3,15.9,8.3,11.1,5.4,3.2,2.5,,,,,,,,
서울시,은평구,2015,93.2,80.4,56.7,14.6,9.1,12.8,6.4,3.9,2.5,,,,,,,,
서울시,은평구,2016,91.4,78.1,51.0,17.3,9.8,13.3,6.7,3.9,2.7,,,,,,,,
서울시,은평구,2017,86.7,71.1,46.3,13.8,11.0,15.6,7.5,3.8,4.3,,,,,,,,
서울시,은평구,2018,84.2,70.2,45.1,13.3,11.8,14.0,6.2,3.9,3.8,,0.1,,,,,,
서울시,은평구,2019,84.6,69.4,44.3,13.0,12.1,10.6,6.5,4.1,,,,4.6,,,4.6,,
서울시,은평구,2020,78.4,68.2,44.7,13.2,10.3,7.4,3.9,3.5,,,,2.8,,,2.8,,
서울시,은평구,2021,77.9,66.1,43.4,13.4,9.3,8.2,5.1,3.1,,,0.0,3.6,1.0,,2.6,,
서울시,은평구,2022,75.7,63.1,42.5,10.1,10.5,8.9,5.7,3.2,,,0.0,3.7,1.0,,2.7,,
서울시,은평구,2023,72.6,60.0,43.6,8.0,8.5,9.0,5.9,3.0,,,0.0,3.6,1.0,,2.7,,
서울시,종로구,2014,119.5,77.4,59.4,10.9,7.1,42.1,8.2,33.3,,,0.6,,,,,,
서울시,종로구,2015,96.8,76.8,57.9,10.7,8.2,20.0,8.2,11.5,,,0.3,,,,,,
서울시,종로구,2016,107.9,69.8,41.4,5.9,22.5,38.1,17.4,19.6,,,1.1,,,,,,
서울시,종로구,2017,105.3,65.2,18.5,3.3,43.4,40.1,20.1,19.5,,,0.5,,,,,,
서울시,종로구,2018,100.8,64.5,18.4,3.9,42.2,36.3,15.7,17.1,,,3.5,,,,,,
서울시,종로구,2019,95.6,65.7,18.4,4.2,43.1,27.4,10.5,15.8,,,1.1,2.5,1.3,,,,1.3
서울시,종로구,2020,76.1,53.0,18.1,4.7,30.2,18.3,5.5,12.1,,,0.7,4.8,4.4,,,,0.4
서울시,종로구,2021,69.3,49.5,16.4,4.4,28.7,17.2,5.9,10.6,0.1,,0.6,2.6,2.3,0.2,,,0.2
서울시,종로구,2022,75.5,53.1,14.8,4.1,34.2,20.6,6.8,12.9,0.1,,0.7,1.8,1.6,,,,0.2
서울시,종로구,2023,79.9,54.8,13.2,3.9,37.7,20.5,7.1,12.8,,,0.6,4.6,3.6,,,,1.0
서울시,중구,2014,130.0,82.5,7.2,13.3,62.0,47.5,9.0,20.4,7.0,,11.1,,,,,,
서울시,중구,2015,127.8,80.5,7.3,12.3,60.9,47.3,8.2,15.7,11.7,,11.7,,,,,,
서울시,중구,2016,126.1,74.1,7.5,10.5,56.1,52.0,8.9,18.1,12.2,,12.8,,,,,,
서울시,중구,2017,107.5,62.6,8.6,9.9,44.1,44.9,7.7,18.0,6.5,,12.7,,,,,,
서울시,중구,2018,114.8,60.4,8.3,9.5,42.6,54.4,8.9,21.1,11.4,,13.0,,,,,,
서울시,중구,2019,116.4,60.2,8.5,9.3,42.4,26.9,6.5,17.8,0.3,,2.4,29.3,2.6,0.9,14.4,,11.4
서울시,중구,2020,80.8,47.1,8.0,9.2,29.9,18.1,4.8,12.5,0.3,,0.5,15.6,2.2,0.6,5.7,,7.1
서울시,중구,2021,78.5,43.9,8.7,9.0,26.2,20.4,5.3,13.1,1.5,,0.6,14.2,1.3,0.3,6.4,,6.2
서울시,중구,2022,90.6,48.9,9.0,9.4,30.6,23.4,5.1,17.2,0.2,,0.8,18.3,0.9,2.4,4.6,,10.3
서울시,중구,2023,101.7,51.1,8.8,8.0,34.3,25.9,5.9,17.7,1.1,,1.2,24.7,2.1,2.1,7.7,,12.9
서울시,중랑구,2014,102.4,95.9,46.9,30.2,18.8,6.5,3.0,1.9,1.6,,,,,,,,
서울시,중랑구,2015,99.6,88.9,41.8,28.8,18.3,10.7,4.2,3.5,3.0,,,,,,,,
서울시,중랑구,2016,93.2,82.0,36.7,25.4,19.9,11.2,4.3,3.5,3.4,,,,,,,,
서울시,중랑구,2017,90.6,80.1,37.3,24.4,18.4,10.5,4.2,3.9,2.4,,,,,,,,
서울시,중랑구,2018,91.4,81.3,39.5,23.8,18.0,10.1,4.0,3.5,2.6,,,,,,,,
서울시,중랑구,2019,91.0,81.8,40.8,22.8,18.2,6.2,3.4,2.8,,,,3.0,0.6,,2.4,,
서울시,중랑구,2020,86.7,80.2,40.1,22.7,17.4,4.6,2.3,2.3,,,,1.9,0.3,,1.5,,
서울시,중랑구,2021,84.2,77.4,39.4,22.4,15.6,5.1,3.2,1.9,,,,1.7,0.4,,1.3,,
서울시,중랑구,2022,83.5,75.6,39.1,21.0,15.5,5.8,3.5,2.2,,,,2.1,0.5,,1.5,,
서울시,중랑구,2023,79.9,72.0,35.5,20.2,16.3,5.8,3.6,2.2,,,0.0,2.2,0.6,,1.6,,
