자치구,연도,쓰레기_배출량,쓰레기_매립량,쓰레기_소각량,쓰레기_재활용량,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량
노원구,2020,405633,32387,41344,330938,0.75,527032,144500,102566,43018,39196,1926,26478,375,38,26064,228709,227268,123,1319,5946,729,1987,3078
노원구,2021,398708,32148,39098,326801,0.72,514946,135900,95590,42222,36352,3854,27013,1088,15,25456,229987,229380,260,347,5808,744,2470,2490
노원구,2022,563441,29107,37403,496384,0.79,508014,145778,106889,42244,35346,3490,24876,969,29,23557,388071,387836,235,-,4716,692,1792,2059
노원구,2023,488241,30564,35593,421584,0.76,502925,140139,102671,40600,33276,3815,38244,11579,239,26404,306861,306582,279,-,2998,753,1800,345
노원구,2024,363003,27324,43501,281563,0.83,496552,150001,96090,40555,41725,1856,26136,1017,50,25070,183808,183688,120,-,3058,768,1606,398
도봉구,2020,472418,15274,35435,415475,0.92,327361,110126,72850,26663,34579,2599,29365,23200,46,-,331501,318992,35,12474,1426,433,774,201
도봉구,2021,332716,3793,36218,292520,0.79,319373,91929,53467,26313,35235,3095,282,265,17,-,239030,238338,83,608,1476,450,883,89
도봉구,2022,277653,2788,20920,252390,0.82,313989,94263,70069,26080,20088,2597,1262,1253,9,-,180679,180663,17,-,1449,406,806,191
도봉구,2023,199963,3169,37931,153872,0.91,309494,102431,58070,26996,36818,2605,453,453,-,-,95230,94939,289,2,1849,410,824,561
도봉구,2024,552721,2198,21057,525123,0.79,306032,88094,61429,24361,20306,2084,19,19,-,-,463209,463209,-,-,1400,467,751,114
동대문구,2020,1184725,9512,33794,1141166,1.23,357014,161082,121098,33218,31697,8277,9323,9298,-,3,1010620,1009956,36,629,3700,814,2061,603
동대문구,2021,671264,10995,34094,626044,0.91,352006,116867,75504,34000,31695,9560,8195,8195,-,-,542574,541522,-,1052,3629,823,2399,383
동대문구,2022,542009,9663,34934,495337,0.84,353601,108075,68325,31174,30065,9484,14557,10071,2627,1,416130,416125,5,-,3246,816,2237,177
