자치구,대행업체,"일반쓰레기,음식물쓰레기",재활용,대형폐기물,수거지역,비고
강서구,신진이에스,Y,Y,Y,"화곡3동, 6동, 우장산동",
강서구,청해물산,Y,Y,Y,"공항동, 방화1,2,3동",
강서구,건양시스템,Y,Y,Y,"등촌2동, 화곡본, 2,4동",
구로구,원진환경㈜,,,Y,구로구 관내 전지역,
구로구,동아환경㈜,Y,Y,,"구로1동,구로3동,구로4동,가리봉동",
구로구,㈜신영환경,Y,Y, Y,"신도림동,구로2동,구로5동",
구로구,원진환경㈜,Y,Y,,"고척1동,개봉2동,개봉3동,오류2동,항동",
구로구,삼진환경㈜,Y,Y,,"고척2동,개봉1동,오류1동,수궁동",
금천구,한일환경㈜,Y,Y,,"가산동, 독산3동",
금천구,한일크린㈜,Y,Y,,"독산1동, 독산2동, 독산4동",
금천구,㈜금천환경,Y,Y,,"시흥1동, 시흥4동",
금천구,㈜삼정환경서비스,Y,Y,,"시흥2동, 시흥3동, 시흥5동",
영등포구,(주)북부환경,Y,Y,Y,"영등포본동, 도림동, 신길1동",
영등포구,동일환경㈜,Y,Y,Y,"여의동, 당산2동",
영등포구,동진환경㈜,Y,Y,Y,"영등포동, 당산1동",
영등포구,우성환경㈜,Y,Y,Y,"문래동, 양평1동, 양평2동",
영등포구,남서울환경㈜,Y,Y,Y,"대림1동, 대림2동, 대림3동",
영등포구,삼원환경㈜,Y,Y,Y,"신길3동, 신길4동, 신길5동, 신길6동, 신길7동",
동작구,㈜경청클린,Y,Y,Y,노량진1 ~ 2동,
동작구,기성환경㈜,Y,Y,Y,상도1~5동,
동작구,남지환경㈜,Y,Y,Y,"흑석동, 사당2동",
동작구,㈜늘푸른환경,Y,Y,Y,"사당1동, 사당3~5동",
동작구,신세계환경㈜,Y,Y,Y,"대방동, 신대방1~2동",
관악구,신봉그린㈜,Y,Y,,"보라매동, 성현동, 서원동, 신림동, 신원동, 미성동",
관악구,(주)수정환경,Y,,,"성현동(봉2), 중앙동, 청림동, 행운동",
관악구,(주)삼지크린,Y,,,"청룡동, 은천동",
관악구,㈜클린턴,Y,,,"낙성대동, 남현동, 인헌동",
관악구,관일산업(주),Y,,,"대학동, 서림동, 삼성동",
관악구,평아건업(주),Y,,,"신사동, 조원동(신8)",
관악구,클린환경(주),Y,,,"난곡동, 미성동(신12), 난향동",
관악구,동하기업(주),,,Y,관악구 전 지역,
서초구,하동기업㈜,Y,Y,Y,"방배본?1?4동, 잠원동, 반포2?3동, 반포4동(반포대로 서편)",
서초구,㈜고려이엔알,Y,Y,Y,"서초1?2?4동, 방배3동",
서초구,㈜대승에코그린,Y,Y,Y,"반포본동, 양재1?2동",
서초구,성광환경㈜,Y,Y,Y,"방배2동, 반포1동, 반포4동(반포대로 동편)",
서초구,(합자)성진기업,Y,Y,Y,"서초3동, 내곡동",
강남구,웅비환경,Y,Y,,테헤란로 기준 북측,
강남구,상록수기업,Y,Y,,강남구 테헤란로 기준 남측지역,
강남구,하진기업,Y,Y,,"논현1동,논현2동,신사동",
강남구,하남기업,Y,Y,,"대치1동, 대치4동, 역삼2동",
강남구,평원기업,Y,Y,,"일원1동,일원본동,수서동,세곡동",
강남구,성진미화,Y,Y,,역삼1동,
강남구,고려환경,Y,Y,,"삼성2동, 대치2동",
강남구,평아용역,Y,Y,,"도곡1동, 도곡2동, 개포1,2,3,4동",
강남구,로얄환경,Y,Y,,"청담동,삼성1동,압구정동",
강남구,태화용역,Y,,Y,강남구 전지역,
송파구,본에코(주),Y,Y,Y,"삼전동,잠실본동· 잠실3동 일부",
