"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2001","합계",영등포구,24.56,409920,24.56,409920,100.0,2301.5,2301.5,100.0,2301.5,447.6,16.5,1837.4,-,-
"2001","합계",동작구,16.35,407793,16.35,407793,100.0,1981.8,1981.8,100.0,1981.8,390.8,3.7,1587.3,-,-
"2001","합계",관악구,29.56,529741,29.56,529741,100.0,1785.8,1785.8,100.0,1785.8,1411.5,8.4,365.9,-,-
"2001","합계",서초구,47.14,397983,47.14,397983,100.0,3067.3,3067.3,100.0,3067.3,793.7,76.9,2196.7,-,-
"2001","합계",강남구,39.55,546038,39.55,546038,100.0,3796.2,3796.2,100.0,3796.2,2709.9,208.7,573.6,304.0,-
"2001","합계",송파구,33.89,658242,33.89,658242,100.0,2620.1,2620.1,100.0,2620.1,491.4,19.3,2109.4,-,-
"2001","합계",강동구,24.58,490585,24.58,490585,100.0,1166.9,1166.9,100.0,1166.9,226.1,7.4,933.4,-,-
"2002","합계",소계,605.52,10280523,605.52,10280523,100.0,48328.2,48328.2,100.0,48328.2,17328.6,1112.7,28202.2,1684.7,-
"2002","합계",종로구,23.91,184224,23.91,184224,100.0,1073.5,1073.5,100.0,1073.5,610.2,75.7,387.6,-,-
"2002","합계",중구,9.96,141603,9.96,141603,100.0,1110.5,1110.5,100.0,1110.5,483.5,1.4,625.6,-,-
"2002","합계",용산구,21.87,245218,21.87,245218,100.0,2688.3,2688.3,100.0,2688.3,1149.6,17.6,1521.1,-,-
"2002","합계",성동구,16.84,343018,16.84,343018,100.0,2433.2,2433.2,100.0,2433.2,551.8,14.5,1161.8,705.1,-
"2002","합계",광진구,17.05,388478,17.05,388478,100.0,1561.1,1561.1,100.0,1561.1,343.6,14.2,1203.3,-,-
"2002","합계",동대문구,14.21,384356,14.21,384356,100.0,1380.7,1380.7,100.0,1380.7,595.6,8.9,776.2,-,-
"2002","합계",중랑구,18.50,443246,18.50,443246,100.0,1119.6,1119.6,100.0,1119.6,241.0,7.3,871.3,-,-
"2002","합계",성북구,24.57,446968,24.57,446968,100.0,945.6,945.6,100.0,945.6,304.8,4.0,636.8,-,-
"2002","합계",강북구,23.60,362906,23.60,362906,100.0,1148.3,1148.3,100.0,1148.3,243.3,70.0,835.0,-,-
"2002","합계",도봉구,20.80,373086,20.80,373086,100.0,897.0,897.0,100.0,897.0,309.0,-,588.0,-,-
"2002","합계",노원구,35.44,643585,35.44,643585,100.0,1415.4,1415.4,100.0,1415.4,395.5,184.8,835.1,-,-
"2002","합계",은평구,29.72,471873,29.72,471873,100.0,1757.9,1757.9,100.0,1757.9,613.4,15.6,1128.9,-,-
"2002","합계",서대문구,17.60,368001,17.60,368001,100.0,1156.6,1156.6,100.0,1156.6,363.0,19.5,774.1,-,-
"2002","합계",마포구,23.87,378777,23.87,378777,100.0,1518.6,1518.6,100.0,1518.6,616.3,5.1,897.2,-,-
"2002","합계",양천구,17.40,486350,17.40,486350,100.0,1706.3,1706.3,100.0,1706.3,458.1,236.3,1011.9,-,-
"2002","합계",강서구,41.39,530169,41.39,530169,100.0,5321.5,5321.5,100.0,5321.5,841.1,44.1,3736.5,699.8,-
"2002","합계",구로구,20.11,415789,20.11,415789,100.0,828.3,828.3,100.0,828.3,195.1,121.7,509.6,1.9,-
"2002","합계",금천구,13.00,264004,13.00,264004,100.0,925.0,925.0,100.0,925.0,501.8,17.4,402.1,3.7,-
"2002","합계",영등포구,24.57,412152,24.57,412152,100.0,2201.5,2201.5,100.0,2201.5,649.4,18.0,1529.1,5.0,-
"2002","합계",동작구,16.35,404872,16.35,404872,100.0,2019.0,2019.0,100.0,2019.0,382.3,8.6,1628.1,-,-
"2002","합계",관악구,29.57,524560,29.57,524560,100.0,1633.7,1633.7,100.0,1633.7,809.6,14.2,809.9,-,-
"2002","합계",서초구,47.14,393583,47.14,393583,100.0,3690.5,3690.5,100.0,3690.5,866.4,10.9,2813.2,-,-
"2002","합계",강남구,39.55,540813,39.55,540813,100.0,5427.3,5427.3,100.0,5427.3,4395.9,162.8,599.4,269.2,-
"2002","합계",송파구,33.89,649888,33.89,649888,100.0,2719.9,2719.9,100.0,2719.9,407.9,12.4,2299.6,-,-
"2002","합계",강동구,24.58,483004,24.58,483004,100.0,1648.9,1648.9,100.0,1648.9,1000.4,27.7,620.8,-,-
