"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","성동구",2004,76.4,2.0,-,74.4,-,-,-,-
"서울시","성동구",2005,83.0,-,-,83.0,67.0,16.0,-,-
"서울시","성동구",2006,85.0,-,-,85.0,58.7,26.3,-,-
"서울시","성동구",2007,86.0,-,-,86.0,55.8,30.2,-,-
"서울시","성동구",2008,85.0,-,-,85.0,57.0,28.0,-,-
"서울시","성동구",2009,85.1,-,-,85.1,60.6,24.5,-,-
"서울시","성동구",2010,85.1,-,-,85.1,60.1,25.0,-,-
"서울시","성동구",2011,92.6,-,-,92.6,89.6,3.0,-,-
"서울시","성동구",2012,86.5,-,-,86.5,82.6,3.7,-,0.2
"서울시","성동구",2013,86.7,-,-,86.7,84.7,2.0,-,-
"서울시","성동구",2014,79.7,-,-,79.7,73.3,6.4,-,-
"서울시","성동구",2015,91.8,-,-,91.8,89.4,2.4,-,-
"서울시","성동구",2016,87.9,-,-,87.9,85.8,1.7,-,0.4
"서울시","성동구",2017,85.7,-,-,85.7,74.9,10.8,-,-
"서울시","성동구",2018,84.2,-,-,84.2,51.2,33.0,-,-
"서울시","성동구",2019,80.6,-,-,80.6,26.2,54.4,-,-
"서울시","성동구",2020,77.9,-,-,77.9,38.7,38.6,-,0.9
"서울시","성동구",2021,76.6,-,-,76.6,53.4,22.6,-,0.6
"서울시","성동구",2022,76.6,-,-,76.6,37.4,38.3,-,0.9
"서울시","성동구",2023,75.8,-,-,75.8,41.1,7.0,-,27.7
"서울시","광진구",2004,73.0,6.3,-,66.7,-,-,-,-
"서울시","광진구",2005,104.0,-,-,104.0,88.0,16.0,-,-
"서울시","광진구",2006,103.5,-,-,103.5,92.0,11.5,-,-
"서울시","광진구",2007,95.4,-,-,95.4,92.2,3.2,-,-
"서울시","광진구",2008,95.2,-,-,95.2,95.2,-,-,-
"서울시","광진구",2009,99.5,-,-,99.5,99.5,-,-,-
"서울시","광진구",2010,100.1,-,-,100.1,76.1,24.0,-,-
"서울시","광진구",2011,104.9,-,-,104.9,85.1,19.8,-,-
"서울시","광진구",2012,112.9,-,-,112.9,110.3,2.6,-,-
"서울시","광진구",2013,98.9,-,-,98.9,98.5,0.4,-,-
"서울시","광진구",2014,104.5,-,-,104.5,104.5,-,-,-
"서울시","광진구",2015,104.2,-,-,104.2,103.8,0.4,-,-
"서울시","광진구",2016,102.6,-,-,102.6,100.1,2.5,-,-
"서울시","광진구",2017,99.0,-,-,99.0,96.1,2.8,-,0.1
"서울시","광진구",2018,95.1,-,-,95.1,91.9,3.2,-,-
"서울시","광진구",2019,92.7,-,-,92.7,76.1,16.5,-,0.1
"서울시","광진구",2020,86.8,-,-,86.8,28.9,56.5,-,1.4
"서울시","광진구",2021,82.7,-,-,82.7,49.1,33.1,-,0.5
"서울시","광진구",2022,83.3,-,-,83.3,53.9,29.0,-,0.4
"서울시","광진구",2023,83.4,-,-,83.4,72.9,8.8,-,1.7
"서울시","동대문구",2004,88.9,15.8,-,73.1,-,-,-,-
"서울시","동대문구",2005,113.0,-,-,113.0,98.0,15.0,-,-
"서울시","동대문구",2006,115.8,-,-,115.8,103.0,12.7,-,0.2
"서울시","동대문구",2007,113.7,-,-,113.7,97.9,15.5,-,0.3
"서울시","동대문구",2008,83.3,-,-,83.3,71.6,11.3,-,0.4
"서울시","동대문구",2009,90.8,-,-,90.8,75.1,15.4,-,0.3
"서울시","동대문구",2010,91.4,-,-,91.4,20.8,36.3,-,34.3
"서울시","동대문구",2011,95.0,-,-,95.0,19.3,4.7,-,71.0
"서울시","동대문구",2012,100.2,-,-,100.2,7.6,39.9,-,52.7
"서울시","동대문구",2013,98.6,-,-,98.6,6.6,6.0,-,86.0
"서울시","동대문구",2014,105.1,-,-,105.1,-,-,-,105.1
"서울시","동대문구",2015,105.8,-,-,105.8,-,-,-,105.8
"서울시","동대문구",2016,105.4,-,-,105.4,12.1,2.9,-,90.4
"서울시","동대문구",2017,101.8,-,-,101.8,11.4,3.9,-,86.5
"서울시","동대문구",2018,97.6,-,-,97.6,11.5,3.3,-,82.8
"서울시","동대문구",2019,97.7,-,-,97.7,7.8,6.1,-,83.8
"서울시","동대문구",2020,90.8,-,-,90.8,4.5,5.8,-,80.5
"서울시","동대문구",2021,93.5,-,-,93.5,2.5,4.8,-,86.2
"서울시","동대문구",2022,85.6,-,-,85.6,7.5,0.2,-,77.8
"서울시","동대문구",2023,85.8,-,-,85.8,6.6,3.8,-,75.4
"서울시","중랑구",2004,72.5,22.7,-,49.8,-,-,-,-
"서울시","중랑구",2005,80.0,-,-,80.0,80.0,-,-,-
"서울시","중랑구",2006,80.1,-,-,80.1,80.1,-,-,-
"서울시","중랑구",2007,80.7,-,-,80.7,80.7,-,-,-
"서울시","중랑구",2008,76.7,-,-,76.7,70.9,5.8,-,-
