대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
계,강동구,2001,505.9,301.4,222.9,78.5,7.4,197.1,,,,,,933,,301,,,,105,,527,,,,,,,,,,,,,,,,,,,,
계,강동구,2002,537.9,299.8,206.7,93.1,12.7,225.4,,,,,,621,,300,,,,110,,211,,,,,,,,,,,,,,,,,,,,
계,강동구,2003,429.2,223.3,138.3,85,6.4,199.5,,,,,,425,,223,,,,95,,107,,,,,,,,,,,,,,,,,,,,
계,강동구,2004,450.9,255.8,155.1,100.7,13.3,181.8,,,,,,1039,,162,,94,,99,,684,,3,,,,,,,,,,,,,,,,,,
계,강동구,2005,437.6,281.3,168.3,113,16.4,139.9,,,,,,1261,,168,,113,,86,,894,,0,,,,,,,,,,,,,,,,,,
계,강동구,2006,418.7,261.9,148.8,113.1,13.6,143.2,,,,,,1520,,239,,113,,0,,1168,,3,,,,,,,,,,,,,,,,,,
계,강동구,2007,386.2,241,132,109,22.8,122.4,,,,,,1443,,132,,109,,98,,1104,,3,,,,,,,,,,,,,,,,,,
계,강동구,2008,496.2,350.9,239.4,111.5,61.7,83.6,,,,,,1262,,239,,112,,99,,813,,4,,,,,,,,,,,,,,,,,,
계,강동구,2009,426.4,288.8,171.6,117.2,57.7,79.9,,0.87,426.4,489655,,1641,,172,,117,,165,,1188,,5,,,,,,,,,,,,,,,,,,
계,강동구,2010,258.5,136.4,18.1,118.3,62,60.1,,0.52,258.5,496939,1050.7,907,140.2,18.1,118.3,118.3,155.2,155.2,637,615.4,8.2,1.5,,,,,,,,,,,,,,,,,,
계,강동구,2011,262.7,141.2,15.2,126,55.3,66.2,,0.52,262.7,500516,914.4,772.1,136.7,15.2,126,126,8.6,8.6,643.1,622.3,9.1,3.5,,,,,,,,,,,,,,,,,,
계,강동구,2012,258.6,147.1,26.2,120.9,51.9,59.6,,0.52,258.6,492728,965.1,839.2,137.7,26.2,120.9,120.9,106.8,100.4,599.7,591.7,11.6,4.5,,,,,,,,,,,,,,,,,,
