대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,광역시도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률
계,강동구,2008,496.2,350.9,239.4,111.5,61.7,83.6,,,,,서울시,,1262.0,,239.0,,112.0,,99.0,,813.0,,4.0,
계,강동구,2009,426.4,288.8,171.6,117.2,57.7,79.9,,0.87,426.4,489655.0,서울시,,1641.0,,172.0,,117.0,,165.0,,1188.0,,5.0,
계,강동구,2010,258.5,136.4,18.1,118.3,62.0,60.1,,0.52,258.5,496939.0,서울시,1050.7,907.0,140.2,18.1,118.3,118.3,155.2,155.2,637.0,615.4,8.2,1.5,
계,강동구,2011,262.7,141.2,15.2,126.0,55.3,66.2,,0.52,262.7,500516.0,서울시,914.4,772.1,136.7,15.2,126.0,126.0,8.6,8.6,643.1,622.3,9.1,3.5,
계,강동구,2012,258.6,147.1,26.2,120.9,51.9,59.6,,0.52,258.6,492728.0,서울시,965.1,839.2,137.7,26.2,120.9,120.9,106.8,100.4,599.7,591.7,11.6,4.5,
계,강동구,2013,246.4,131.9,10.3,121.6,52.9,61.6,,0.5,246.4,487969.0,서울시,1782.0,1647.2,124.8,10.3,121.6,121.6,143.0,125.7,1392.6,1389.6,10.3,1.3,
계,강동구,2014,392.6,274.3,148.9,125.4,59.2,59.1,,0.82,392.6,481332.0,서울시,1065.9,932.2,267.2,148.9,125.4,125.4,17.3,13.0,656.0,644.9,12.5,5.0,
계,강동구,2015,412.4,304.6,173.1,131.5,63.3,44.5,,0.89,412.4,463321.0,서울시,1363.7,1243.7,280.9,173.1,131.5,131.5,,,951.3,939.1,13.7,3.7,
계,강동구,2016,500.2,391.4,268.9,122.5,79.6,29.2,,1.12,500.2,448471.0,서울시,3630.2,3440.0,377.7,268.9,122.5,122.5,295.9,241.5,2834.1,2807.1,13.3,3.7,
계,강동구,2017,375.0,279.8,165.3,114.5,74.1,21.1,,0.85,375.0,440359.0,서울시,2313.3,2192.3,260.5,165.3,114.5,114.5,24.0,23.8,1914.3,1888.7,10.7,3.1,
계,강동구,2018,370.1,268.5,158.6,109.9,61.3,40.3,,0.86,370.1,431920.0,서울시,2328.3,2196.2,260.2,158.6,109.9,109.9,116.0,115.7,1842.2,1812.0,11.5,2.0,
계,강동구,2019,419.9,283.1,165.5,117.6,74.9,40.9,21.0,0.95,419.9,440390.0,서울시,4535.3,4352.8,306.4,169.6,113.5,113.5,389.0,355.4,3726.4,3714.3,20.2,3.3,
계,강동구,2020,134696.0,90881.0,50471.0,40410.0,26954.0,16699.0,161.0,0.79,368.0,463998.0,서울시,1007193.0,953590.0,134696.0,90881.0,,,114885.0,107411.0,757613.0,755298.0,5259.0,1551.0,94.7
계,강동구,2021,146616.0,97802.0,55306.0,42496.0,20752.0,15911.0,12151.0,0.86,401.7,466472.0,서울시,1087820.0,1027200.0,146616.0,97802.0,,,104025.0,93768.0,837179.0,835630.0,5639.0,1740.0,94.4
계,강동구,2022,126256.0,90128.0,49478.0,40650.0,19731.0,16367.0,30.0,0.75,345.9,464037.0,서울시,753567.0,710501.0,126256.0,90128.0,,,105328.0,98728.0,521982.0,521646.0,4733.0,1588.0,94.3
계,강동구,2023,122793.0,87690.0,49144.0,38546.0,20634.0,14436.0,33.0,0.73,336.4,463318.0,서울시,589260.0,546547.0,122793.0,87690.0,,,95364.0,88299.0,371103.0,370558.0,4949.0,1759.0,92.8
계,강동구,2024,129564.0,84538.0,46483.0,38055.0,33808.0,10643.0,574.0,0.74,354.0,481474.0,서울시,523007.0,471647.0,129564.0,84538.0,,,92905.0,86982.0,300538.0,300127.0,4468.0,1738.0,90.2
계,강북구,2000,422.8,239.7,182.0,57.7,1.3,181.8,,,,,서울시,,744.0,,245.0,,,,,,499.0,,,
